"Event Type","ID","Time","Gender","Age"
"Move In","3","2025-06-08 17:21","Unknown","Unknown"
"Move In","8","2025-06-08 17:21","Unknown","Unknown"
"Move In","2","2025-06-08 17:21","Unknown","Unknown"
"Move In","4","2025-06-08 17:21","Unknown","Unknown"
"Move In","1","2025-06-08 17:21","Female","(48-53)"
"Move In","5","2025-06-08 17:21","Female","(60-100)"
"Move In","7","2025-06-08 17:21","Unknown","Unknown"
"Move In","9","2025-06-08 17:21","Unknown","Unknown"
"Move In","10","2025-06-08 17:21","Unknown","Unknown"
"Move In","6","2025-06-08 17:21","Unknown","Unknown"
"Move In","0","2025-06-08 17:21","Unknown","Unknown"
"Move In","11","2025-06-08 17:21","Unknown","Unknown"
"Move In","12","2025-06-08 17:21","Unknown","Unknown"
"Move In","13","2025-06-08 17:21","Male","(48-53)"
"Move In","14","2025-06-08 17:21","Unknown","Unknown"
"Move In","15","2025-06-08 17:21","Unknown","Unknown"
"Move In","16","2025-06-08 17:21","Female","(8-12)"
"Move In","17","2025-06-08 17:21","Unknown","Unknown"
"Move In","19","2025-06-08 17:21","Unknown","Unknown"
"Move In","18","2025-06-08 17:21","Unknown","Unknown"
"Move In","21","2025-06-08 17:21","Unknown","Unknown"
"Move In","20","2025-06-08 17:21","Male","(8-12)"
"Move In","26","2025-06-08 17:21","Unknown","Unknown"
"Move In","22","2025-06-08 17:21","Male","(25-32)"
"Move In","23","2025-06-08 17:21","Male","(0-2)"
"Move In","24","2025-06-08 17:21","Female","(48-53)"
"Move In","25","2025-06-08 17:21","Female","(48-53)"
"Move In","27","2025-06-08 17:21","Unknown","Unknown"
"Move In","28","2025-06-08 17:21","Unknown","Unknown"
"Move In","29","2025-06-08 17:21","Unknown","Unknown"
"Move In","30","2025-06-08 17:21","Female","(25-32)"
"Move In","31","2025-06-08 17:21","Male","(0-2)"
"Move In","32","2025-06-08 17:21","Unknown","Unknown"
"Move In","34","2025-06-08 17:21","Unknown","Unknown"
